# z mu sig_mu
0.5742 41.5085 0.9524 
0.7394 44.1635 0.9659 
0.6223 43.2775 0.9566 
0.5708 41.1400 0.9521 
0.4736 43.5136 0.9422 
0.6640 44.8253 0.9601 
0.4843 43.2816 0.9434 
1.0400 44.0385 0.9843 
1.3440 43.8425 0.9982 
0.4433 42.9286 0.9388 
0.8416 43.2501 0.9728 
0.5573 43.7015 0.9508 
0.5909 42.8930 0.9539 
1.1473 45.4486 0.9896 
0.1886 40.1122 0.8959 
0.2062 40.6458 0.9002 
0.1134 38.5905 0.8716 
0.9098 45.5979 0.9771 
0.8214 43.7002 0.9715 
0.9861 44.4658 0.9814 
1.4841 47.0700 1.0036 
0.8531 42.3668 0.9736 
0.5028 41.0670 0.9454 
0.8249 44.5302 0.9718 
0.2368 39.2851 0.9070 
0.6580 44.8460 0.9596 
0.2592 40.1965 0.9115 
1.2298 43.9279 0.9934 
0.5514 44.3384 0.9502 
0.4668 43.4672 0.9415 
0.3551 43.0988 0.9273 
0.8158 44.4383 0.9712 
0.4987 41.4324 0.9449 
0.5912 44.5179 0.9539 
0.1102 38.2825 0.8703 
0.6363 43.6600 0.9578 
0.6310 43.7762 0.9574 
0.6356 42.7401 0.9578 
1.2252 45.2703 0.9932 
0.7015 44.0405 0.9630 
0.4255 42.1848 0.9366 
0.4839 41.1301 0.9433 
0.7191 43.5062 0.9644 
0.1758 40.8063 0.8925 
0.6854 42.4222 0.9618 
0.6895 42.9621 0.9621 
0.3139 40.6526 0.9211 
0.2465 42.1295 0.9090 
0.3929 42.2531 0.9325 
0.4286 42.2329 0.9370 
0.5928 41.9683 0.9541 
0.4851 42.6826 0.9435 
1.6407 44.7710 1.0090 
0.2213 40.2116 0.9037 
0.3127 40.4584 0.9209 
0.2745 41.3345 0.9143 
0.6713 43.5883 0.9607 
0.3467 41.1126 0.9261 
0.5066 42.6623 0.9458 
0.3400 40.2447 0.9251 
0.2725 39.3352 0.9140 
0.2294 40.6685 0.9054 
0.6746 43.2076 0.9609 
0.2547 41.1081 0.9106 
0.3031 43.1556 0.9193 
0.4323 42.7590 0.9375 
0.8891 42.8999 0.9758 
0.2164 41.1361 0.9026 
0.9197 42.5958 0.9776 
0.2154 39.7000 0.9023 
1.4589 45.0654 1.0027 
0.5084 43.9181 0.9459 
1.4623 44.3932 1.0028 
0.6242 42.0496 0.9568 
0.7688 43.3033 0.9680 
0.1471 38.6103 0.8839 
0.3687 42.5101 0.9293 
0.2386 39.3877 0.9074 
0.3786 40.4632 0.9306 
0.2372 39.9563 0.9071 
0.3948 41.1740 0.9328 
0.4665 43.8881 0.9414 
0.1806 40.5357 0.8937 
0.7133 43.2813 0.9639 
0.5896 41.5198 0.9538 
0.3558 42.1545 0.9274 
0.5526 41.5662 0.9503 
0.2132 38.6985 0.9018 
0.5979 43.8596 0.9545 
1.1617 44.8297 0.9903 
0.3952 42.5003 0.9328 
0.6861 43.3994 0.9619 
0.2491 41.2535 0.9095 
0.7407 42.6694 0.9660 
0.3736 40.5352 0.9299 
0.2924 41.4999 0.9175 
0.6074 42.0000 0.9554 
0.1131 37.9755 0.8715 
0.9031 43.3881 0.9767 
0.0667 37.3738 0.8472 
