# Name ID RA DEC z z_err zQF 
0011 11.0 69.60398 -12.33483 0.14502699731 5.39539923983e-05 0.0 
0038 38.0 69.5969 -12.32047 0.502938602945 0.000222303791245 1.0 
0042 42.0 69.57136 -12.31795 0.0 0.001 0.0 
0055 55.0 69.59832 -12.31157 0.0 0.001 0.0 
0057 57.0 69.5978429 -12.311442 0.0 0.001 0.0 
0072 72.0 69.61111 -12.3037 0.0 0.001 0.0
0080 80.0 69.55023 -12.30339 0.0 0.001 0.0
0083 83.0 69.58752 -12.30232 0.0 0.001 0.0
0085 85.0 69.56567 -12.30147 0.0 0.001 0.0
0111 111.0 69.59927 -12.29414 0.0 0.001 0.0
0114 114.0 69.52129 -12.2893 0.0 0.001 0.0
0119 119.0 69.5651 -12.28924 0.0 0.001 0.0
0125 125.0 69.53808 -12.28883 0.0 0.001 0.0
0126 126.0 69.54177 -12.28782 0.0 0.001 0.0
0128 128.0 69.60646 -12.28668 0.369864207858 8.03355766875e-05 0.0
0164 164.0 69.52007 -12.24671 0.581369862213 0.000216496440347 2.0
0182 182.0 69.53533 -12.25025 0.0 0.001 0.0
0185 185.0 69.52459 -12.24947 0.585115787002 0.000104162060008 0.0
0190 190.0 69.55228 -12.25292 0.0 0.001 0.0
